"RegionName","Year","Month","Portion"
"94903",2009,12,0.060703
"94043",2009,12,0.070608
"94070",2009,12,0.0259
"94518",2009,12,0.306765
"94947",2009,12,0.295258
"95054",2009,12,0.292424
"94607",2009,12,0.311218
"94619",2009,12,0.418187
"94107",2009,12,0.116638
"94103",2009,12,0.02882
"95032",2009,12,0.117016
"94579",2009,12,0.403858
"95135",2009,12,0.09697
"94547",2009,12,0.524003
"95118",2009,12,0.169638
"94030",2009,12,0.04
"94024",2009,12,0.022727
"94519",2009,12,0.374389
"94564",2009,12,0.477878
"94596",2009,12,0.265673
"94803",2009,12,0.474286
"94588",2009,12,0.086425
"94506",2009,12,0.067202
"94022",2009,12,0.03125
"95138",2009,12,0.298736
"95126",2009,12,0.09712
"95110",2009,12,0.151515
"94127",2009,12,0.047285
"94595",2009,12,0.013158
"94706",2009,12,0.044445
"94805",2009,12,0.284314
"94702",2009,12,0.112426
"94960",2009,12,0.152083
"94563",2009,12,0.089445
"94945",2009,12,0.276359
"94618",2009,12,0.029412
"94920",2009,12,0.171598
"94904",2009,12,0.089744
"94556",2009,12,0.119791
"94507",2009,12,0.125336
"94597",2009,12,0.239912
"94949",2009,12,0.115625
"94542",2009,12,0.379774
"94065",2009,12,0.0625
"95030",2009,12,0.07
"94517",2009,12,0.131308
"94019",2009,12,0.161176
"94505",2009,12,0.448948
"95119",2009,12,0.25
"94105",2009,12,0.023727
"94565",2010,1,0.568891
"94112",2010,1,0.233429
"94544",2010,1,0.482056
"94110",2010,1,0.125391
"94587",2010,1,0.411887
"95035",2010,1,0.333971
"94538",2010,1,0.225799
"94501",2010,1,0.183187
"94536",2010,1,0.147813
"94513",2010,1,0.473278
"95111",2010,1,0.414364
"95127",2010,1,0.439267
"94806",2010,1,0.54033
"95123",2010,1,0.379318
"94509",2010,1,0.527549
"94122",2010,1,0.044872
"94080",2010,1,0.17997
"95122",2010,1,0.39096
"94109",2010,1,0.020381
"94015",2010,1,0.325
"94541",2010,1,0.465829
"95020",2010,1,0.35738
"94087",2010,1,0.03125
"95051",2010,1,0.093414
"95125",2010,1,0.173336
"94539",2010,1,0.049691
"95112",2010,1,0.267345
"95014",2010,1,0.020192
"95116",2010,1,0.396046
"95148",2010,1,0.356782
"94601",2010,1,0.529699
"94014",2010,1,0.341707
"94550",2010,1,0.254354
"94553",2010,1,0.404789
"95136",2010,1,0.203097
"94901",2010,1,0.134608
"95037",2010,1,0.21506
"94086",2010,1,0.061548
"94025",2010,1,0.15419
"94560",2010,1,0.291844
"95008",2010,1,0.063244
"94577",2010,1,0.445526
"94303",2010,1,0.250769
"94116",2010,1,0.020833
"94546",2010,1,0.309646
"95124",2010,1,0.118252
"94551",2010,1,0.2731
"95129",2010,1,0.043715
"94605",2010,1,0.531746
